1	19.649	11	6.59902e-05
2	17.7056	8	0.0176955
1	35.7454	24	5.60188e-05
1	9.26655	5	7.70496e-05
1	23.6314	10	0.0143643
1	32.8018	16	2.31799e-05
1	35.5282	14	0.0249167
1	49.952	19	0.0485333
1	35.6741	12	0.0249167
1	29.9339	12	2.95052e-31
1	36.945	20	0.0170215
1	20.739	12	0.00821732
1	18.4983	8	2.57793e-05
2	25.9365	9.43398	0.0326696
2	19.4383	7	0.0129527
2	23.0235	11	0.0214651
1	16.327	7	0.00576771
1	39.0361	16	2.49601e-31
1	41.2772	20	0.0218002
1	23.6254	14	0.00722828
1	23.578	10	0.0472727
1	19.3042	12	2.9803e-05
2	12.8831	5.09902	0.016824
2	40.0104	21	0.0134701
1	5.65078	6	0.128762
1	41.7132	19	7.47261e-32
