 6.50000  0.00000     1  
-6.50000 -0.00000     2  
 6.31380  1.25590     1  
-6.31380 -1.25590     2  
 5.88973  2.43961     1  
-5.88973 -2.43961     2  
 5.24865  3.50704     1  
-5.24865 -3.50704     2  
 4.41941  4.41943     1  
-4.41941 -4.41943     2  
 3.43758  5.14473     1  
-3.43758 -5.14473     2  
 2.34392  5.65877     1  
-2.34392 -5.65877     2  
 1.18272  5.94601     1  
-1.18272 -5.94601     2  
-0.00002  6.00000     1  
 0.00002 -6.00000     2  
-1.15837  5.82341     1  
 1.15837 -5.82341     2  
-2.24829  5.42778     1  
 2.24829 -5.42778     2  
-3.22928  4.83290     1  
 3.22928 -4.83290     2  
-4.06589  4.06584     1  
 4.06589 -4.06584     2  
-4.72900  3.15978     1  
 4.72900 -3.15978     2  
-5.19684  2.15256     1  
 5.19684 -2.15256     2  
-5.45563  1.08515     1  
 5.45563 -1.08515     2  
-5.50000 -0.00004     1  
 5.50000  0.00004     2  
-5.33301 -1.06085     1  
 5.33301  1.06085     2  
-4.96584 -2.05696     1  
 4.96584  2.05696     2  
-4.41716 -2.95151     1  
 4.41716  2.95151     2  
-3.71228 -3.71234     1  
 3.71228  3.71234     2  
-2.88198 -4.31328     1  
 2.88198  4.31328     2  
-1.96120 -4.73490     1  
 1.96120  4.73490     2  
-0.98759 -4.96524     1  
 0.98759  4.96524     2  
 0.00006 -5.00000     1  
-0.00006  5.00000     2  
 0.96331 -4.84262     1  
-0.96331  4.84262     2  
 1.86564 -4.50389     1  
-1.86564  4.50389     2  
 2.67373 -4.00141     1  
-2.67373  4.00141     2  
 3.35880 -3.35871     1  
-3.35880  3.35871     2  
 3.89755 -2.60418     1  
-3.89755  2.60418     2  
 4.27297 -1.76985     1  
-4.27297  1.76985     2  
 4.47485 -0.89004     1  
-4.47485  0.89004     2  
 4.50000  0.00007     1  
-4.50000 -0.00007     2  
 4.35222  0.86578     1  
-4.35222 -0.86578     2  
 4.04195  1.67430     1  
-4.04195 -1.67430     2  
 3.58567  2.39595     1  
-3.58567 -2.39595     2  
 3.00515  3.00525     1  
-3.00515 -3.00525     2  
 2.32639  3.48182     1  
-2.32639 -3.48182     2  
 1.57850  3.81103     1  
-1.57850 -3.81103     2  
 0.79248  3.98445     1  
-0.79248 -3.98445     2  
-0.00007  4.00000     1  
 0.00007 -4.00000     2  
-0.76824  3.86183     1  
 0.76824 -3.86183     2  
-1.48297  3.58000     1  
 1.48297 -3.58000     2  
-2.11817  3.16994     1  
 2.11817 -3.16994     2  
-2.65170  2.65160     1  
 2.65170 -2.65160     2  
-3.06609  2.04860     1  
 3.06609 -2.04860     2  
-3.34909  1.38716     1  
 3.34909 -1.38716     2  
-3.49406  0.69493     1  
 3.49406 -0.69493     2  
-3.50000 -0.00008     1  
 3.50000  0.00008     2  
-3.37143 -0.67070     1  
 3.37143  0.67070     2  
-3.11806 -1.29163     1  
 3.11806  1.29163     2  
-2.75420 -1.84039     1  
 2.75420  1.84039     2  
-2.29804 -2.29815     1  
 2.29804  2.29815     2  
-1.77082 -2.65035     1  
 1.77082  2.65035     2  
